user_id,age,gender,country,state,acquisition_source,tenure_days,recency_days,frequency_orders,frequency_orders_non_cancelled,monetary_gross,monetary_net,avg_order_value,avg_item_price,avg_basket_size,avg_price_tier,return_rate,cancellation_rate,avg_days_to_ship,avg_days_to_deliver,category_diversity,top_category,top_brand,top_department,first_order_date,last_order_date,is_non_purchaser,total_sessions,product_view_sessions,avg_funnel_depth,avg_events_per_session,avg_session_duration_sec,bounce_session_rate,dominant_traffic_source,dominant_browser,distinct_traffic_sources,first_session_date,last_session_date,days_browse_to_first_purchase,channel_consistency_flag,has_transaction_data,has_session_data,avg_session_duration_capped,log_session_duration,log_monetary_net,log_avg_item_price,discount_reliance_pct,avg_discount_depth,max_discount_depth,full_price_spend_share,discounted_spend,cart_abandonment_rate,cart_sessions,abandoned_cart_sessions,converting_sessions,session_conversion_rate,browse_to_cart_rate,simulated_price_change_pct,prob_churn_on_price_increase,price_elasticity,expected_spend_retention,expected_revenue_after_change,revenue_delta
6571,12,F,China,Yunnan,Facebook,1185,935,1,1,36.0,36.0,36.0,36.0,1.0,36.0,0.0,0.0,1.0,,1,Socks & Hosiery,Wrightsock,Women,2024-01-14,2024-01-14,0,1,1,5,5.0,392.0,0,Email,Firefox,1,2024-01-14,2024-01-14,0,0,1,1,392.0,5.9738,3.6109,3.6109,0.4313,0.2853,0.3254,0.5687,15.53,0.8539,1,1,0,0.0,0.6139,0.1,0.4539,-2.3173,0.4195,16.61,-19.39
77581,18,F,China,Anhui,Search,194,107,2,2,63.9900016784668,63.9900016784668,31.9950008392334,31.9950008392334,1.0,31.9950008392334,0.0,0.0,2.0,,2,Intimates,Slim Me,Women,2026-02-22,2026-04-21,0,2,2,5,5.0,323.0,0,Adwords,Chrome,1,2026-02-22,2026-04-21,0,0,1,1,323.0,5.7807,4.1742,3.4964,0.8552,0.4312,0.5887,0.1448,54.72,0.5128,1,0,1,0.5,0.3687,0.1,0.5144,-1.8994,0.3934,27.69,-36.3
65901,40,F,United Kingdom,England,Display,255,76,2,2,177.0,177.0,88.5,88.5,1.0,88.5,0.0,0.0,2.0,3.0,2,Intimates,Maidenform,Women,2026-03-24,2026-05-22,0,2,2,5,5.0,402.5,0,Email,Firefox,1,2026-03-24,2026-05-22,0,0,1,1,402.5,6.0002,5.1818,4.4942,0.2619,0.2634,0.3432,0.7381,46.36,0.5164,2,2,0,0.0,0.5966,0.1,0.1486,-0.9045,0.7744,150.78,-26.22
64115,33,F,United States,Washington,Search,788,276,1,1,10.699999809265137,10.699999809265137,10.699999809265137,10.699999809265137,1.0,10.699999809265137,0.0,0.0,1.0,3.0,1,Intimates,Barely There,Women,2025-11-03,2025-11-03,0,1,1,5,5.0,193.0,0,Adwords,Safari,1,2025-11-03,2025-11-03,0,0,1,1,193.0,5.2679,2.4596,2.4596,0.4081,0.0485,0.1199,0.5919,4.37,0.6467,1,0,1,1.0,0.646,0.1,0.46,-1.3165,0.4689,5.52,-5.18
24401,22,M,Brasil,Bahia,Search,887,636,1,1,32.900001525878906,32.900001525878906,32.900001525878906,32.900001525878906,1.0,32.900001525878906,0.0,0.0,,,1,Jeans,Lee,Men,2024-11-08,2024-11-08,0,1,1,5,5.0,507.0,0,Adwords,Safari,1,2024-11-08,2024-11-08,0,0,1,1,507.0,6.2305,3.5234,3.5234,0.5805,0.3146,0.4268,0.4195,19.1,0.7925,1,1,0,0.0,0.5924,0.1,0.4308,-2.3032,0.4381,15.85,-17.05
69866,48,F,Germany,Nordrhein-Westfalen,Search,1649,1390,1,1,27.84999942779541,27.84999942779541,27.84999942779541,13.924999713897703,2.0,13.924999713897703,0.0,0.0,1.0,,2,Intimates,Fruit of the Loom,Women,2022-10-16,2022-10-16,0,2,2,5,7.0,86884.5,0,Adwords,Chrome,1,2022-10-16,2022-10-16,0,0,1,1,3600.0,8.189,3.3621,2.703,0.7624,0.3204,0.4866,0.2376,21.23,0.6483,2,0,2,1.0,0.545,0.1,0.4995,-1.7333,0.4138,12.68,-15.17
95552,49,M,Brasil,Minas Gerais,Organic,2494,544,4,4,131.35000038146973,99.36000061035156,32.83750009536743,32.83750009536743,1.0,32.83750009536743,0.25,0.0,1.3333333333333337,3.333333333333333,3,Jeans,Under Armour,Men,2020-04-12,2025-02-08,0,4,4,5,5.0,402.0,0,Adwords,Chrome,2,2020-04-11,2025-02-08,1,0,1,1,402.0,5.9989,4.6088,3.5216,0.7035,0.1566,0.2675,0.2965,69.9,0.4824,3,2,1,0.25,0.5737,0.1,0.2977,-0.823,0.6445,70.44,-28.92
28101,43,F,China,Fujian,Search,2541,1147,1,1,29.989999771118164,0.0,29.989999771118164,29.989999771118164,1.0,29.989999771118164,1.0,0.0,3.0,8.0,1,Tops & Tees,Devon & Jones,Women,2023-06-16,2023-06-16,0,1,1,5,5.0,598.0,0,Adwords,IE,1,2023-06-16,2023-06-16,0,0,1,1,598.0,6.3953,0.0,3.4337,0.6234,0.0183,0.0528,0.3766,0.0,0.5472,1,1,0,0.0,0.4542,0.1,0.2957,-1.2485,0.6164,0.0,0.0
88032,28,F,Brasil,Pará,Search,1404,224,2,2,200.95000076293945,200.95000076293945,100.47500038146973,100.47500038146973,1.0,100.47500038146973,0.0,0.0,2.0,4.5,1,Swim,Seafolly,Women,2023-11-11,2025-12-25,0,2,2,5,5.0,307.5,0,Adwords,Firefox,1,2023-11-11,2025-12-25,0,0,1,1,307.5,5.7317,5.308,4.6198,0.5507,0.1473,0.2201,0.4493,110.66,0.5682,2,1,1,0.5,0.4991,0.1,0.2161,-1.3726,0.6763,149.49,-51.46
88949,30,M,China,Beijing,Search,342,166,1,1,45.4900016784668,45.4900016784668,45.4900016784668,45.4900016784668,1.0,45.4900016784668,0.0,0.0,0.0,,1,Fashion Hoodies & Sweatshirts,TapouT,Men,2026-02-21,2026-02-21,0,1,1,5,5.0,171.0,0,YouTube,Firefox,1,2026-02-21,2026-02-21,0,0,1,1,171.0,5.1475,3.8392,3.8392,0.3087,0.2951,0.5428,0.6913,14.04,0.6268,1,0,1,1.0,0.5303,0.1,0.3579,-1.7866,0.5274,26.39,-19.1
91737,49,F,China,Hunan,Organic,2025,688,2,2,236.5199966430664,236.5199966430664,118.2599983215332,78.83999888102214,1.5,78.83999888102214,0.0,0.0,1.0,,3,Pants & Capris,Pendleton,Women,2024-09-03,2024-09-17,0,3,3,5,6.333333333333333,173384.6666666667,0,Adwords,Firefox,2,2024-09-03,2024-09-17,0,0,1,1,3600.0,8.189,5.4703,4.38,0.7789,0.3848,0.5022,0.2211,184.23,0.564,2,0,2,0.6667,0.4883,0.1,0.3596,-1.9098,0.5181,134.8,-101.72
45104,58,F,United States,Florida,Search,497,201,4,4,387.56999969482416,387.56999969482416,96.89249992370604,96.89249992370604,1.0,96.89249992370604,0.0,0.0,2.0,4.5,4,Skirts,BCBGeneration,Women,2025-03-29,2026-01-17,0,4,4,5,5.0,396.0,0,Email,Chrome,3,2025-03-29,2026-01-17,0,0,1,1,396.0,5.9839,5.9625,4.5839,0.7877,0.3499,0.6942,0.2123,305.29,0.487,4,2,2,0.5,0.5875,0.1,0.0806,-0.769,0.8487,361.82,-25.75
30619,32,M,United Kingdom,England,Search,1175,300,1,1,48.950000762939446,48.950000762939446,48.950000762939446,48.950000762939446,1.0,48.950000762939446,0.0,0.0,,,1,Sweaters,Edwards Garment,Men,2025-10-10,2025-10-10,0,1,1,5,5.0,525.0,0,Adwords,Chrome,1,2025-10-10,2025-10-10,0,0,1,1,525.0,6.2653,3.911,3.911,0.788,0.234,0.234,0.212,38.57,0.3801,1,1,0,0.0,0.3384,0.1,0.2619,-1.495,0.6278,33.8,-15.15
53948,53,F,United States,New York,Organic,1244,815,3,2,152.81999683380127,122.82999706268308,50.939998944600426,50.93999894460042,1.0,50.93999894460042,0.0,0.3333333333333333,,,3,Skirts,Full Tilt,Women,2023-04-25,2024-05-13,0,3,3,5,5.0,310.0,0,Adwords,Chrome,2,2023-04-25,2024-05-13,0,0,1,1,310.0,5.7398,4.8189,3.9501,0.497,0.3445,0.5829,0.503,61.05,0.536,2,0,2,0.6667,0.4882,0.1,0.4547,-2.2254,0.424,57.29,-65.54
9765,52,M,China,Henan,Search,2494,22,2,2,121.49999809265135,121.49999809265135,60.74999904632568,30.37499952316284,2.0,30.37499952316284,0.0,0.0,0.0,3.0,3,Shorts,HUGO BOSS,Men,2022-09-15,2026-07-15,0,4,4,5,8.75,173497.0,0,Email,Safari,3,2022-09-14,2026-07-15,1,0,1,1,3600.0,8.189,4.8081,3.446,0.6463,0.5422,0.5422,0.3537,78.53,0.6075,3,2,1,0.25,0.6788,0.1,0.5352,-2.1772,0.3636,48.6,-72.9
71274,18,F,United States,California,Search,4,3,1,0,49.550002098083496,0.0,49.550002098083496,24.775001049041748,2.0,24.775001049041748,0.0,1.0,,,2,Socks & Hosiery,Wrightsock,Women,2026-08-03,2026-08-03,0,2,2,5,7.0,173419.0,0,Adwords,Safari,2,2026-08-03,2026-08-03,0,0,1,1,3600.0,8.189,0.0,3.2494,0.3734,0.1258,0.2169,0.6266,0.0,0.4597,2,2,0,0.0,0.5871,0.1,0.2222,-0.8163,0.7144,0.0,0.0
4111,14,M,Japan,Ibaraki,Organic,802,134,1,1,71.9000015258789,71.9000015258789,71.9000015258789,35.95000076293945,2.0,35.95000076293945,0.0,0.0,,,2,Tops & Tees,Amazing Apparel,Men,2026-03-25,2026-03-25,0,2,2,5,7.0,216584.5,0,Email,Chrome,1,2026-03-25,2026-03-25,0,0,1,1,3600.0,8.189,4.2891,3.6096,0.6617,0.3773,0.4744,0.3383,47.58,0.5218,2,0,2,1.0,0.6798,0.1,0.3989,-1.674,0.5005,39.58,-32.32
63517,69,M,Belgium,Brussels,Search,1523,581,1,1,305.94999980926514,305.94999980926514,305.94999980926514,152.97499990463257,2.0,152.97499990463257,0.0,0.0,-0.5,0.5,2,Accessories,Dakine,Men,2025-01-02,2025-01-02,0,2,2,5,7.0,130294.0,0,Email,Chrome,2,2025-01-02,2025-01-02,0,0,1,1,3600.0,8.189,5.7267,5.0368,0.0871,0.1937,0.286,0.9129,26.65,0.2613,1,0,1,0.5,0.5249,0.1,0.0917,-0.2547,0.8852,297.91,-8.04
32279,32,F,China,Jiangsu,Search,5,1,2,2,90.5,90.5,45.25,45.25,1.0,45.25,0.0,0.0,1.0,,2,Fashion Hoodies & Sweatshirts,Roxy,Women,2026-08-03,2026-08-05,0,2,2,5,5.0,432.0,0,Adwords,Chrome,2,2026-08-03,2026-08-05,0,0,1,1,432.0,6.0707,4.5163,3.8341,0.2306,0.0,0.1159,0.7694,20.87,0.5998,1,1,0,0.0,0.5353,0.1,0.2561,-0.5752,0.7011,69.79,-20.71
23259,47,M,United States,Illinois,Search,464,393,1,0,21.049999237060547,0.0,21.049999237060547,21.049999237060547,1.0,21.049999237060547,0.0,1.0,,,1,Jeans,Allegra K,Men,2025-07-09,2025-07-09,0,1,1,5,5.0,202.0,0,Email,Safari,1,2025-07-09,2025-07-09,0,0,1,1,202.0,5.3132,0.0,3.0933,0.3838,0.2171,0.3676,0.6162,0.0,0.4791,1,0,1,1.0,0.8563,0.1,0.1638,-0.9772,0.7545,0.0,0.0
29633,41,M,China,Fujian,Display,2322,1019,1,1,154.58999729156494,0.0,154.58999729156494,38.64749932289124,4.0,38.64749932289124,1.0,0.0,1.0,4.0,4,Socks,HUGO BOSS,Men,2023-10-22,2023-10-22,0,4,4,5,13.0,87439.25,0,Adwords,IE,3,2023-10-22,2023-10-22,0,0,1,1,3600.0,8.189,0.0,3.68,0.3561,0.22,0.266,0.6439,0.0,0.6505,4,3,1,0.25,0.7295,0.1,0.4083,-1.5176,0.5019,0.0,0.0
82756,13,F,United Kingdom,England,Search,2524,1950,1,1,29.989999771118164,29.989999771118164,29.989999771118164,29.989999771118164,1.0,29.989999771118164,0.0,0.0,0.0,,1,Tops & Tees,Devon & Jones,Women,2021-04-04,2021-04-04,0,1,1,5,5.0,337.0,0,Email,Safari,1,2021-04-04,2021-04-04,0,0,1,1,337.0,5.823,3.4337,3.4337,0.9136,0.452,0.5233,0.0864,27.4,0.6261,1,0,1,1.0,0.4419,0.1,0.6548,-2.175,0.2701,8.91,-21.08
50692,50,M,Brasil,Maranhão,Search,523,47,2,1,81.70000076293945,64.75,40.85000038146973,27.233333587646484,1.5,27.233333587646484,0.0,0.3333333333333333,,,3,Active,Jerzees,Men,2025-07-19,2026-06-20,0,3,3,5,6.333333333333333,173299.3333333333,0,YouTube,Chrome,2,2025-07-19,2026-06-20,0,0,1,1,3600.0,8.189,4.1859,3.3405,0.2674,0.3017,0.399,0.7326,17.31,0.5769,2,2,0,0.0,0.6608,0.1,0.1265,-1.115,0.7761,55.28,-9.47
3058,54,M,Belgium,Flanders,Organic,124,70,1,1,104.8000030517578,0.0,104.8000030517578,52.400001525878906,2.0,52.400001525878906,1.0,0.0,-1.0,0.0,2,Shorts,Lee,Men,2026-05-28,2026-05-28,0,2,2,5,7.0,173401.5,0,Email,Firefox,2,2026-05-28,2026-05-28,0,0,1,1,3600.0,8.189,0.0,3.9778,0.101,0.2803,0.3929,0.899,0.0,0.5089,1,1,0,0.0,0.7182,0.1,0.2507,-0.5775,0.7061,0.0,0.0
44105,19,M,Brasil,Paraná,Search,1332,320,2,2,90.4000015258789,52.400001525878906,45.200000762939446,30.13333384195964,1.5,30.13333384195964,0.3333333333333333,0.0,3.0,4.0,3,Accessories,Levi's,Men,2023-04-22,2025-09-20,0,3,3,5,6.333333333333333,86920.66666666667,0,Email,Chrome,2,2023-04-21,2025-09-20,1,0,1,1,3600.0,8.189,3.9778,3.4383,0.7267,0.3515,0.5703,0.2733,38.08,0.6498,2,1,1,0.3333,0.5299,0.1,0.6413,-2.1098,0.283,16.31,-36.09
14211,53,M,China,Hebei,Display,1460,838,1,1,196.3199977874756,196.3199977874756,196.3199977874756,49.0799994468689,4.0,49.0799994468689,0.0,0.0,,,4,Tops & Tees,Angry Birds,Men,2024-04-20,2024-04-20,0,4,4,5,13.0,195426.25,0,Email,Chrome,2,2024-04-20,2024-04-20,0,0,1,1,3600.0,8.189,5.2848,3.9136,0.503,0.1667,0.3127,0.497,98.75,0.6897,3,2,1,0.25,0.64,0.1,0.3418,-0.9541,0.5954,128.58,-67.74
89611,49,F,China,Inner Mongolia Autonomous Region,Search,453,35,2,1,214.7399978637696,79.98999786376953,107.36999893188477,71.57999928792317,1.5,71.57999928792317,0.0,0.6666666666666666,,,3,Plus,AJs,Women,2025-05-11,2026-07-02,0,3,3,5,6.333333333333333,58211.66666666666,0,Adwords,Chrome,3,2025-05-11,2026-07-01,0,0,1,1,3600.0,8.189,4.3943,4.2847,0.862,0.211,0.2662,0.138,68.95,0.5427,3,2,1,0.3333,0.499,0.1,0.4019,-1.3507,0.5173,45.52,-34.47
48735,46,M,China,Shanghai,Organic,2385,536,2,2,148.9900016784668,148.9900016784668,74.4950008392334,74.4950008392334,1.0,74.4950008392334,0.0,0.0,1.5,0.0,2,Tops & Tees,Carhartt,Men,2024-04-19,2025-02-16,0,2,2,5,5.0,441.5,0,Adwords,Chrome,2,2024-04-19,2025-02-16,0,0,1,1,441.5,6.0924,5.0106,4.3241,0.1511,0.2171,0.2171,0.8489,22.51,0.4005,1,1,0,0.0,0.5595,0.1,0.188,-0.9484,0.735,120.46,-28.53
53841,40,F,Brasil,São Paulo,Search,1699,1111,2,1,234.2999973297119,82.0,117.14999866485596,78.09999910990396,1.5,78.09999910990396,0.0,0.6666666666666666,1.0,,3,Accessories,Luxury Divas,Women,2022-06-15,2023-07-22,0,3,3,5,6.333333333333333,86874.66666666667,0,Adwords,Chrome,2,2022-06-15,2023-07-22,0,0,1,1,3600.0,8.189,4.4188,4.3707,0.4784,0.165,0.2972,0.5216,39.23,0.4853,2,2,0,0.0,0.6548,0.1,0.3209,-1.2266,0.5958,53.74,-28.26
15982,12,M,Australia,South Australia,Search,1792,37,1,1,27.4399995803833,27.4399995803833,27.4399995803833,13.71999979019165,2.0,13.71999979019165,0.0,0.0,1.5,,2,Socks,Universal Textiles,Men,2026-06-30,2026-06-30,0,2,2,5,7.0,130025.5,0,Adwords,IE,1,2026-06-30,2026-06-30,0,0,1,1,3600.0,8.189,3.3478,2.6892,0.9766,0.583,0.6576,0.0234,26.8,0.6503,2,2,0,0.0,0.5377,0.1,0.5181,-2.0568,0.3828,11.55,-15.89
89101,37,F,China,Guangdong,Search,1489,216,2,0,195.2400016784668,0.0,97.6200008392334,97.6200008392334,1.0,97.6200008392334,0.0,1.0,,,2,Jeans,Levi's,Women,2022-11-22,2026-01-02,0,2,2,5,5.0,436.5,0,Facebook,Firefox,2,2022-11-22,2026-01-02,0,0,1,1,436.5,6.0811,0.0,4.5913,0.4514,0.3437,0.4342,0.5486,0.0,0.6092,1,0,1,0.5,0.5244,0.1,0.2946,-1.3,0.6137,0.0,0.0
89568,53,M,Brasil,Bahia,Search,1376,368,4,4,221.8799991607666,196.8799991607666,55.46999979019165,55.46999979019165,1.0,55.46999979019165,0.25,0.0,2.333333333333333,3.0,4,Fashion Hoodies & Sweatshirts,Allegra K,Men,2023-10-08,2025-08-03,0,4,4,5,5.0,351.25,0,Email,Chrome,3,2023-10-08,2025-08-03,0,0,1,1,351.25,5.8643,5.2877,4.0337,0.5395,0.2057,0.2921,0.4605,106.22,0.473,3,2,1,0.25,0.4941,0.1,0.3061,-1.0172,0.6233,134.99,-61.89
42474,13,F,China,Hubei,Organic,1783,1711,1,1,10.0,10.0,10.0,10.0,1.0,10.0,0.0,0.0,0.0,,1,Socks & Hosiery,AJs,Women,2021-11-29,2021-11-29,0,1,1,5,5.0,220.0,0,Adwords,Chrome,1,2021-11-29,2021-11-29,0,0,1,1,220.0,5.3982,2.3979,2.3979,0.9457,0.1773,0.4033,0.0543,9.46,0.4729,1,1,0,0.0,0.6394,0.1,0.2669,-1.6098,0.6151,6.77,-3.23
38315,47,M,Brasil,São Paulo,Organic,1169,861,1,1,33.0,33.0,33.0,33.0,1.0,33.0,0.0,0.0,1.0,,1,Shorts,Southpole,Men,2024-03-28,2024-03-28,0,1,1,5,5.0,435.0,0,Organic,Firefox,1,2024-03-28,2024-03-28,0,1,1,1,435.0,6.0776,3.5264,3.5264,0.1124,0.2779,0.335,0.8876,3.71,0.561,1,0,1,1.0,0.623,0.1,0.1506,-1.2202,0.7458,27.07,-5.93
92338,59,M,France,Provence-Alpes-Côte d'Azur,Organic,1744,417,4,2,364.3400039672852,94.5,91.08500099182127,45.542500495910645,2.0,45.542500495910645,0.0,0.625,1.6666666666666663,2.0,6,Active,Under Armour,Men,2023-03-31,2025-06-15,0,8,8,5,9.5,43966.5,0,Email,Firefox,3,2023-03-31,2025-06-15,0,0,1,1,3600.0,8.189,4.5591,3.8404,0.1642,0.3555,0.3555,0.8358,15.52,0.4277,5,2,3,0.375,0.5127,0.1,0.0567,-0.4743,0.8986,93.41,-1.09
57334,48,F,Brasil,São Paulo,Search,1053,785,1,1,57.0,57.0,57.0,57.0,1.0,57.0,0.0,0.0,,,1,Intimates,Hanky Panky,Women,2024-06-12,2024-06-12,0,1,1,5,5.0,355.0,0,Adwords,Other,1,2024-06-12,2024-06-12,0,0,1,1,355.0,5.8749,4.0604,4.0604,0.5049,0.1344,0.1683,0.4951,28.78,0.5623,1,1,0,0.0,0.6739,0.1,0.4233,-1.5188,0.4891,30.67,-26.33
58550,46,M,China,Guangdong,Search,2553,88,3,3,362.4100017547608,362.4100017547608,120.8033339182536,51.77285739353725,2.333333333333333,51.77285739353725,0.0,0.0,-0.1428571428571427,4.0,7,Active,adidas,Men,2019-08-26,2026-05-10,0,7,7,5,10.142857142857142,222946.71428571423,0,Adwords,Chrome,2,2019-08-26,2026-05-10,0,0,1,1,3600.0,8.189,5.8955,3.966,0.0,0.0,0.0358,1.0,0.0,0.5101,6,3,3,0.4286,0.5048,0.1,0.0543,-0.0872,0.9375,373.74,11.33
7939,54,F,Spain,Cataluña,Facebook,2348,463,2,2,66.77000045776367,66.77000045776367,33.38500022888184,33.38500022888184,1.0,33.38500022888184,0.0,0.0,1.5,7.0,2,Outerwear & Coats,Devon & Jones,Women,2025-04-27,2025-04-30,0,2,2,5,5.0,430.5,0,YouTube,Chrome,2,2025-04-27,2025-04-30,0,0,1,1,430.5,6.0673,4.2161,3.5376,0.4495,0.4191,0.5745,0.5505,30.01,0.4881,1,0,1,0.5,0.5633,0.1,0.0738,-1.3944,0.797,58.54,-8.23
