cid,rev_ttl,rcy,freq,sess_cnt,cat_cnt,basket_avg
220,50.53,160,4,13,2,5.0
221,7.27,249,2,12,1,2.0
222,28.54,245,4,4,6,4.2
223,107.56,635,1,2,6,2.5
224,33.12,894,2,14,7,1.3
225,212.82,490,4,6,4,2.1
226,148.77,797,4,1,4,1.6
227,46.88,396,3,10,1,3.9
228,34.05,790,1,13,5,3.2
229,19.99,590,2,5,4,1.6
230,27.11,714,4,10,2,3.4
231,12.51,12,4,12,4,1.6
232,182.07,793,1,10,6,3.3
233,267.92,146,5,5,5,2.4
234,15.55,309,4,11,2,4.0
235,16.75,264,2,9,4,3.0
236,9.31,756,5,3,6,4.3
237,20.82,612,2,5,5,2.4
238,2.44,150,2,14,5,2.6
239,17.42,635,3,2,5,2.1
240,199.72,249,1,8,1,3.8
241,38.64,612,2,4,7,4.7
242,128.33,487,3,3,7,1.3
243,33.48,690,1,12,4,3.3
244,317.56,809,4,5,1,3.1
245,66.63,71,2,5,4,4.4
246,37.26,587,3,8,2,2.9
247,700.94,95,4,5,5,3.5
248,39.47,829,1,1,7,2.2
249,16.1,769,1,13,7,3.5
250,66.81,851,4,10,6,4.3
251,52.52,321,1,13,1,1.5
252,158.59,550,5,9,7,3.7
253,21.72,511,5,9,1,1.5
254,122.08,62,1,14,4,4.1
255,128.09,453,2,2,7,3.1
256,28.0,470,5,12,6,3.4
257,64.28,563,3,4,4,2.6
258,23.79,232,2,11,6,2.9
259,570.1,69,1,12,1,1.7
260,27.0,21,1,3,3,4.3
261,34.71,692,3,6,5,2.0
262,18.81,639,5,6,3,3.4
263,38.62,111,1,13,1,3.7
264,54.28,816,2,14,4,2.2
265,117.66,613,2,6,1,1.5
266,29.65,177,4,1,4,1.6
267,45.34,361,3,14,3,1.6
268,13.24,866,1,11,5,2.9
269,23.87,443,3,10,5,2.4
270,859.03,6,5,7,5,1.6
271,154.66,604,1,4,6,4.6
272,24.99,867,1,11,4,2.0
273,14.33,333,3,8,6,1.0
274,20.58,760,1,12,1,2.3
275,53.43,41,4,12,3,2.0
276,56.53,62,4,10,3,2.6
277,25.94,867,4,4,7,1.9
278,15.08,298,3,14,1,2.4
279,226.42,470,2,5,1,3.2
280,85.77,232,2,13,4,1.3
281,37.54,667,3,6,5,1.3
282,43.79,341,3,7,1,2.0
283,32.15,478,4,6,2,2.8
284,2.9,834,5,9,1,3.1
285,61.29,737,2,14,5,2.2
286,18.72,876,5,1,3,1.1
287,20.03,508,1,10,4,4.5
288,28.78,28,3,3,5,2.1
289,113.56,110,5,9,1,3.0
290,16.94,255,3,10,4,1.4
291,13.01,577,5,14,1,1.6
292,103.53,828,3,8,4,3.7
293,116.09,155,5,6,3,2.0
294,20.93,100,4,12,4,3.4
295,95.81,741,3,10,1,3.1
296,40.79,532,4,14,1,3.1
297,73.8,612,1,3,5,4.6
298,15.47,290,1,10,7,2.9
299,125.57,845,4,12,4,4.7
300,181.86,560,5,10,2,3.4
301,103.24,566,4,5,5,4.0
302,95.42,750,3,11,7,2.9
303,1.26,202,5,7,5,3.5
304,70.85,623,2,8,1,4.6
305,53.23,501,1,1,1,3.4
306,47.13,451,1,6,5,3.8
307,29.06,694,5,3,3,1.8
308,57.71,247,1,11,2,1.3
309,82.44,640,2,12,5,4.8
310,41.94,724,3,12,1,1.7
311,34.35,308,4,10,7,2.3
312,186.75,215,4,3,1,2.6
313,18.08,589,5,1,7,4.3
314,152.96,223,4,11,6,2.2
315,65.16,841,2,11,3,1.6
316,24.43,76,1,8,2,2.7
317,40.85,616,5,9,5,4.3
318,21.76,404,5,6,6,1.2
319,107.24,330,1,14,7,3.1
320,77.32,500,1,5,1,3.8
321,31.29,819,1,14,1,2.9
322,18.13,131,1,7,7,4.5
323,73.83,744,3,6,7,2.5
324,142.22,376,3,8,3,3.8
325,48.72,769,4,2,4,1.7
326,82.96,681,1,5,2,1.5
327,37.49,96,5,6,6,3.5
328,58.41,198,1,6,4,2.7
329,40.8,261,5,6,2,3.2
330,73.26,77,3,9,2,3.5
331,12.06,711,5,8,7,2.1
332,103.98,468,1,13,2,3.0
333,43.38,247,3,4,6,4.4
334,78.15,667,3,11,5,1.4
335,38.85,66,3,5,5,3.3
336,75.22,34,1,1,7,4.3
337,18.68,614,3,1,2,1.1
338,179.32,677,4,10,7,3.9
339,9.94,719,4,11,4,1.8
340,19.31,529,4,13,1,2.3
341,69.11,577,5,4,5,1.0
342,235.77,170,1,3,4,2.4
343,72.11,310,3,10,3,4.3
344,42.61,125,4,6,2,1.3
345,13.13,503,5,4,7,4.7
346,45.09,610,5,6,1,2.7
347,53.52,19,3,12,4,3.0
348,296.06,155,1,1,2,2.1
349,101.71,506,4,4,1,4.7
350,11.83,518,5,11,2,1.8
351,414.38,771,5,2,7,4.1
352,36.78,661,4,1,6,3.1
353,22.66,70,1,11,3,2.3
354,238.61,85,5,11,7,3.7
355,51.95,344,4,4,2,4.2
356,37.81,65,5,8,3,4.5
357,67.95,148,5,3,5,1.2
358,127.09,235,4,10,1,1.1
359,147.43,342,5,8,6,2.1
360,13.8,667,3,12,3,2.3
361,402.82,11,5,1,3,2.1
362,140.73,464,5,7,3,1.8
363,37.37,744,2,8,4,2.1
364,24.08,697,3,2,4,3.9
365,20.72,446,3,1,7,2.4
366,61.77,293,2,13,1,3.3
367,28.56,392,3,6,4,3.2
368,25.41,507,5,14,5,4.3
369,122.89,541,5,6,3,3.7
370,78.62,857,1,14,3,4.3
371,36.8,765,2,2,4,3.2
372,113.78,657,2,11,4,1.2
373,214.3,262,4,2,5,2.5
374,18.27,545,4,1,4,2.1
375,29.87,240,4,9,5,1.8
376,140.14,418,4,6,2,3.6
377,112.05,44,1,1,1,4.3
378,68.49,241,2,14,2,4.1
379,174.59,239,5,11,7,2.2
380,18.39,582,1,5,6,2.8
381,12.44,59,3,6,4,2.2
382,22.95,254,5,2,7,2.5
383,61.72,37,5,4,5,2.8
384,24.63,173,1,7,3,5.0
385,33.54,497,5,14,5,1.3
386,20.59,235,1,13,1,2.6
387,29.36,165,5,1,2,4.7
388,19.99,671,1,7,1,3.3
389,78.84,66,1,9,7,2.4
390,120.89,118,2,5,1,4.0
391,33.77,825,5,1,6,4.9
392,44.38,871,3,11,6,4.0
393,30.54,133,5,6,5,4.6
394,92.87,731,1,2,5,3.3
395,59.68,85,5,5,2,2.2
396,268.85,414,4,7,4,1.5
397,18.26,873,4,2,2,4.8
398,78.45,422,2,8,1,1.8
399,85.11,600,2,11,1,4.2
400,38.08,820,3,7,7,3.4
401,97.86,653,3,9,4,2.6
402,12.95,21,4,10,5,2.2
403,454.32,506,1,2,2,1.1
404,14.27,108,5,2,1,4.6
405,136.98,63,5,14,3,3.3
406,17.79,736,4,5,4,4.1
407,172.58,757,4,2,6,3.6
408,37.16,756,5,7,5,4.6
409,63.97,376,2,7,5,1.4
410,57.59,385,2,7,4,3.8
411,164.14,353,5,1,3,3.8
412,39.59,760,1,9,1,2.9
413,2.81,121,4,6,1,1.8
414,25.53,811,5,12,7,2.8
415,65.61,101,2,7,3,1.1
416,35.15,286,2,13,3,3.9
417,117.9,470,5,12,2,4.9
418,150.71,8,1,4,1,4.4
419,47.1,511,2,10,4,3.0
420,12.31,2,4,5,2,3.9
421,217.93,466,2,5,3,2.3
422,161.27,165,4,8,1,2.4
423,40.48,551,1,3,3,2.5
424,449.57,457,2,10,7,4.1
425,38.52,789,4,1,3,2.4
426,17.51,469,5,7,5,3.4
427,46.72,453,1,5,3,4.2
428,160.43,333,3,5,3,4.7
429,21.38,341,1,1,3,3.8
430,384.22,566,1,1,5,3.2
431,22.28,230,4,3,3,4.3
432,141.8,208,3,7,2,2.6
433,94.11,276,5,10,6,2.9
434,46.8,488,5,3,7,4.4
435,160.86,504,1,3,4,1.2
436,12.18,407,5,14,5,4.4
437,212.21,715,4,6,1,4.1
438,51.23,122,2,2,7,4.9
439,31.74,397,2,1,3,2.2
440,115.49,629,5,12,2,3.4
441,157.57,36,5,13,2,4.6
442,117.9,153,1,12,6,1.1
443,403.23,169,1,12,5,4.3
444,160.89,782,1,8,6,4.3
445,197.06,81,1,2,6,3.6
446,31.82,535,5,2,1,3.3
447,60.74,300,5,10,6,4.8
448,95.87,504,5,12,2,2.6
449,53.64,615,3,7,1,2.6
450,73.82,717,3,10,6,2.5
451,83.61,531,1,12,4,3.0
452,127.01,584,4,13,5,3.8
453,49.32,595,1,3,4,2.8
454,38.48,201,5,3,1,2.7
455,23.85,409,3,3,4,1.8
456,22.38,848,3,5,7,3.2
457,176.35,98,3,14,3,1.9
458,50.17,125,5,11,1,3.5
459,119.93,266,3,3,5,4.9
460,14.92,464,5,14,6,2.8
461,7.86,459,4,7,1,1.6
462,19.12,633,5,11,7,5.0
463,171.85,447,1,3,1,2.6
464,158.87,229,2,11,1,3.0
465,76.1,219,2,5,5,4.5
466,24.48,598,1,8,3,3.8
467,47.9,742,1,5,2,2.9
468,40.54,886,2,13,2,4.5
469,38.67,389,5,9,3,2.0
470,4.45,691,4,9,7,1.7
471,23.15,760,3,8,7,3.6
472,45.15,542,5,2,4,2.5
473,248.74,238,4,14,1,3.1
474,64.12,119,1,14,5,4.0
475,221.6,847,2,12,6,2.9
476,36.83,549,3,10,6,4.8
477,42.41,100,1,11,3,1.6
478,1.11,375,2,3,5,4.4
479,86.78,692,1,5,2,4.2
480,94.36,449,1,5,7,1.5
481,318.54,18,1,5,7,3.2
482,33.56,251,2,6,3,4.1
483,59.99,212,4,7,5,2.7
484,26.96,393,4,1,5,2.9
485,16.84,783,5,5,2,4.0
486,26.76,320,1,7,7,4.4
487,38.67,315,1,3,6,2.6
488,211.76,790,1,14,6,4.3
489,54.72,839,1,3,3,4.2
490,24.77,19,3,14,1,1.5
491,62.92,836,5,6,4,3.7
492,67.87,233,4,7,2,4.3
493,27.76,720,4,5,3,4.3
494,171.27,169,2,13,7,2.7
495,8.26,356,5,14,2,1.9
496,44.1,399,5,6,2,1.7
497,106.17,772,2,9,6,4.4
498,14.32,872,3,4,5,2.3
499,78.36,411,3,13,5,4.2
500,198.92,501,2,3,4,3.4
501,85.94,113,2,2,2,1.9
502,10.07,55,5,4,7,2.7
503,26.36,766,5,1,4,4.2
504,187.22,863,5,2,1,4.5
505,73.58,734,1,12,1,2.4
506,54.06,189,3,6,2,4.1
507,84.88,122,2,7,6,1.2
508,112.29,485,5,6,3,3.1
509,26.88,779,4,8,2,1.6
510,40.84,821,4,6,1,4.8
511,62.99,467,5,4,3,3.8
512,31.69,375,1,1,5,2.4
513,47.78,669,5,7,7,4.8
514,199.91,815,3,3,7,1.4
515,20.74,241,1,2,2,2.8
516,374.9,505,5,5,5,2.2
517,357.57,193,5,14,5,5.0
518,9.84,725,4,9,1,1.4
519,47.42,763,4,8,1,3.1
520,76.91,242,2,3,4,1.9
521,25.51,540,3,2,5,3.8
522,26.02,206,5,1,2,2.9
523,43.06,132,3,12,6,4.4
524,114.34,32,5,12,1,3.9
525,32.74,329,3,7,4,4.0
526,339.24,318,2,10,3,2.3
527,72.96,773,1,9,7,1.6
528,49.28,644,5,7,2,2.5
529,232.59,421,2,3,5,1.1
530,102.13,196,1,1,1,2.0
531,78.99,303,5,6,3,3.5
532,39.21,109,2,4,5,1.8
533,334.95,306,3,7,3,1.2
534,122.96,387,5,3,7,3.3
535,44.55,742,1,7,5,4.1
536,11.28,799,5,8,5,1.8
537,79.28,408,3,12,6,4.7
538,17.4,263,3,13,7,2.4
539,9.82,853,4,7,3,3.1
540,41.3,835,3,1,3,3.5
541,72.35,280,5,5,7,3.2
542,196.86,763,5,4,4,3.3
543,72.42,680,3,4,5,1.4
544,122.24,354,1,11,4,3.0
545,16.02,257,2,5,5,4.0
546,53.38,77,4,8,1,1.6
547,61.82,691,5,7,3,4.7
548,129.31,401,1,13,6,1.3
549,61.32,15,2,4,7,4.1
550,122.01,127,1,9,3,2.5
551,32.98,116,4,1,2,2.2
552,78.1,725,5,5,3,4.4
553,82.67,233,4,3,4,4.3
554,15.65,543,5,2,5,3.4
555,65.07,783,5,9,4,2.5
556,39.63,379,3,13,1,4.2
557,8.13,290,4,4,4,1.6
558,142.37,214,1,5,4,2.6
559,38.02,435,2,5,3,2.7
560,23.28,727,2,6,7,1.6
561,37.44,96,1,4,5,2.6
562,62.69,727,3,12,1,2.5
563,246.63,510,4,2,6,1.6
564,46.25,793,4,3,6,1.6
565,87.57,86,1,3,1,4.9
566,215.63,888,2,13,6,1.3
567,93.09,127,1,4,1,1.5
568,158.95,310,2,7,6,4.9
569,33.9,720,1,12,4,4.8
570,118.04,513,5,6,7,2.3
571,51.52,219,3,4,7,1.4
572,159.88,806,2,3,2,3.4
573,20.01,55,4,12,5,2.8
574,25.04,476,3,6,3,4.8
575,194.17,541,1,11,5,1.5
576,44.88,870,4,2,3,4.1
577,38.13,131,2,14,4,1.1
578,59.0,145,1,1,6,1.8
579,27.4,47,2,11,6,2.2
580,206.84,97,1,8,3,1.7
581,15.66,747,5,2,1,4.2
582,46.96,478,1,9,5,1.7
583,77.24,357,4,14,5,2.8
584,49.18,208,4,6,5,1.5
585,24.48,778,3,12,6,4.1
586,22.91,433,3,11,7,3.7
587,83.55,669,5,7,3,1.2
588,19.48,431,4,2,5,1.7
589,104.19,180,4,7,4,3.5
590,11.89,145,4,5,6,2.7
591,31.34,76,4,1,3,2.2
592,56.62,18,2,12,2,3.5
593,15.61,154,4,4,4,4.5
594,104.8,573,1,14,6,2.9
595,53.6,445,3,11,5,1.9
596,19.37,602,3,11,2,3.1
597,11.95,321,3,2,1,3.4
598,11.41,243,3,3,5,1.8
599,57.46,748,5,14,1,3.9
600,17.17,776,4,8,2,3.2
601,13.94,422,3,1,4,3.6
602,43.33,784,2,2,6,2.8
603,532.46,499,3,14,2,2.8
604,72.06,635,5,2,3,1.8
605,117.09,348,1,5,2,4.6
606,67.54,15,5,2,6,1.8
607,119.46,679,1,7,4,2.0
608,14.25,438,3,9,2,2.5
609,35.5,620,5,8,4,4.9
610,70.91,319,5,11,1,3.2
611,53.63,617,5,5,6,1.6
612,45.06,868,4,4,6,4.4
613,28.05,694,1,4,2,2.2
614,42.17,742,3,10,2,1.1
615,25.17,358,1,1,7,3.9
616,4.85,487,1,7,3,4.8
617,16.54,107,4,12,6,4.6
618,87.85,829,5,4,4,1.2
619,259.06,736,2,14,5,2.8
620,334.82,465,4,12,7,1.8
621,60.14,310,4,2,1,2.2
622,133.4,502,4,10,4,1.7
623,135.37,622,2,13,4,4.1
624,27.32,877,5,12,1,2.1
625,9.99,889,2,11,1,4.9
626,56.31,287,3,14,5,3.1
627,9.37,631,2,11,7,3.3
628,39.65,862,5,9,6,4.2
629,100.3,816,2,6,2,3.7
630,13.2,562,2,9,4,4.4
631,56.39,12,4,1,7,1.5
632,188.67,39,5,5,1,3.0
633,78.38,543,2,10,4,3.2
634,92.05,96,2,7,5,1.4
635,135.2,87,5,14,3,3.9
636,308.88,899,1,8,7,2.8
637,63.52,785,1,10,1,3.5
638,186.7,294,3,6,1,4.5
639,51.2,864,5,4,4,3.8
640,31.62,501,1,13,2,4.1
641,74.8,30,1,8,3,2.2
642,29.79,589,1,2,2,2.8
643,30.78,119,2,2,1,4.7
644,29.73,314,1,3,2,2.6
645,5.5,749,5,11,1,2.9
646,60.67,888,3,6,3,1.5
647,15.43,618,1,10,4,3.7
648,49.04,270,1,5,2,1.9
649,232.75,883,5,7,1,1.7
650,32.43,13,4,2,2,4.5
651,31.75,680,1,1,2,1.7
652,213.56,621,5,8,4,3.4
653,94.28,534,3,1,7,2.1
654,144.97,232,5,8,6,2.9
655,38.27,485,5,10,5,4.7
656,115.36,217,3,13,3,4.1
657,27.49,8,1,10,6,4.1
658,27.77,659,5,5,7,1.4
659,99.11,705,2,9,7,1.4
660,30.01,203,3,7,1,4.1
661,117.58,345,3,4,2,2.9
662,596.86,838,3,13,3,4.4
663,10.11,95,4,10,7,2.5
664,25.73,822,3,4,5,3.5
665,167.36,492,2,2,1,2.1
666,47.22,466,2,7,5,2.6
667,174.35,332,2,9,5,3.0
668,19.88,488,1,9,4,1.7
669,76.05,545,5,9,2,2.5
670,46.97,24,4,8,5,2.4
671,62.83,15,1,5,6,2.0
672,76.03,752,1,2,7,4.0
673,16.12,148,5,4,7,3.4
674,18.65,846,5,1,5,2.7
675,221.24,485,1,11,4,3.3
676,73.2,242,5,9,1,2.8
677,60.72,548,2,3,3,2.3
678,52.24,310,5,4,1,1.9
679,77.99,73,4,3,3,3.8
680,17.19,840,2,7,7,1.1
681,20.11,572,4,9,7,1.4
682,201.24,846,5,1,7,3.3
683,63.51,757,3,10,7,2.2
684,127.78,288,4,2,2,2.1
685,29.79,258,1,2,7,4.1
686,216.31,592,5,12,5,5.0
687,77.11,469,2,4,5,3.1
688,88.34,63,3,13,6,1.0
689,94.51,815,2,2,1,3.4
690,24.61,483,5,14,6,4.0
691,8.45,632,5,13,4,1.7
692,18.64,841,1,2,6,2.0
693,278.81,186,3,1,7,1.8
694,200.47,847,1,12,3,4.1
695,38.59,869,4,5,1,4.7
696,40.38,536,5,4,7,4.2
697,153.95,307,5,3,3,2.5
698,46.14,579,4,3,7,4.1
699,14.89,741,2,7,7,3.2
700,193.55,90,5,11,3,2.6
701,87.99,407,5,13,2,2.8
702,4.41,95,5,4,5,1.5
703,39.92,710,4,10,6,4.9
704,63.03,482,3,14,1,4.3
705,88.34,828,4,6,3,1.8
706,63.57,437,2,9,2,3.6
707,28.91,812,3,3,3,1.4
708,48.63,712,2,13,2,1.4
709,73.32,724,3,10,2,1.6
710,41.76,655,1,10,7,3.3
711,37.64,290,2,8,7,2.3
712,190.96,208,1,4,4,4.3
713,21.19,821,2,11,7,3.4
714,38.5,811,3,11,3,4.4
715,7.16,138,3,1,5,4.9
716,93.78,160,1,6,6,1.5
717,124.99,234,3,3,7,2.3
718,94.49,46,2,9,6,2.6
719,136.68,581,2,5,3,2.5
720,84.83,831,4,2,2,2.0
721,76.9,673,1,7,7,3.8
722,87.7,114,1,2,1,1.7
723,41.79,45,5,8,6,3.8
724,179.17,811,4,10,3,2.6
725,38.53,241,3,8,6,3.1
726,12.65,725,3,7,1,3.6
727,127.71,332,2,8,1,3.6
728,347.48,701,2,9,2,2.0
729,20.9,762,5,8,7,2.9
730,49.32,788,2,3,2,2.3
731,27.51,1,3,6,6,4.9
732,37.32,265,5,5,3,3.5
733,57.17,800,5,4,3,2.3
734,15.77,533,2,3,5,2.0
735,41.36,301,1,8,4,1.1
736,12.6,813,5,3,4,1.3
737,30.93,554,1,2,1,4.2
738,16.68,22,3,14,3,2.0
739,18.93,842,2,11,3,3.6
740,9.78,733,4,1,4,4.8
741,184.81,55,5,14,3,1.5
742,90.84,878,4,6,1,4.7
743,8.02,490,4,1,3,1.8
744,30.06,857,3,12,3,4.5
745,27.93,199,2,11,6,3.9
746,27.36,111,1,5,4,4.3
747,12.85,632,5,4,7,2.4
748,116.09,83,3,7,2,2.2
749,36.75,736,5,5,3,3.4
750,87.2,267,2,5,7,3.5
751,92.46,221,2,1,2,4.4
752,216.04,549,2,12,3,1.5
753,8.89,773,3,14,7,2.6
754,310.63,722,2,6,6,1.9
755,194.19,159,5,8,2,2.4
756,96.84,692,3,7,1,2.1
757,592.05,432,4,2,5,1.5
758,67.02,569,2,4,7,2.2
759,124.15,118,1,5,4,5.0
760,26.09,423,3,6,4,3.8
761,169.76,276,3,14,3,3.4
762,64.57,222,4,9,5,4.2
763,34.77,336,5,1,2,3.6
764,453.47,81,4,12,6,2.9
765,40.25,625,3,13,5,3.1
766,55.08,632,3,5,1,1.2
767,44.82,285,3,4,7,4.0
768,25.64,598,1,1,6,2.4
769,92.88,476,4,2,2,4.3
770,114.25,545,5,9,4,2.7
771,77.82,586,3,9,7,3.7
772,5.15,601,2,4,3,2.7
